"myr10","temperature_stage","ext_temperature_stage_modern","ext_temperature_stage_eocene"
5,22.5643416554699,26.9812980434085,30.8114273525836
15,19.0575451355759,17.6292141304099,27.7075621086645
25,18.2880605127392,22.6463636628392,29.3992011562818
35,16.9299033247455,13.2364661293536,26.2121376399024
45,23.4561264330394,21.5604924333105,28.5690340851431
55,25.1439124317961,21.4464473102503,28.3734415276909
65,21.8269919868733,19.1732484934266,27.6129169198473
75,23.1141982161829,21.0411662575617,28.2209623356251
85,32.6594022620031,22.8149145609083,29.7637634834214
95,33.8149607846542,24.7214069729445,30.2608732164765
105,28.0042577568073,18.1633003152281,27.3703886163406
115,18.766003476576,22.3779029496197,28.1575859941147
125,20.5845056971962,12.8631089331952,26.2275908359735
135,20.9006064259144,15.7391922396587,26.6838483217386
145,22.627569782782,9.75504775478707,25.5096937727997
155,21.7186066711287,12.7556603244061,26.0190773259993
165,19.7449598970909,14.8870641191177,26.617683116575
175,22.9958099696007,17.3945988197289,27.0550527830791
185,23.2273174790505,18.7993011612524,27.2755998763258
195,22.4710560611819,16.4416121313574,26.795259822943
205,21.8207395646811,19.0686463959685,27.2843661653543
215,30.9251465311867,25.9476262912115,29.3068830729115
225,24.01830674396,27.152568092215,30.0478326439051
235,26.6642022713252,27.6070407687995,30.5486846081761
245,33.4484452778569,20.4482360314393,28.4507896811781
255,27.517574236417,26.5684438568736,30.5284155857164
265,23.797495940392,24.4794024330707,30.3697760205995
275,28.2961921292044,24.0297728193645,29.1761691996123
285,33.84556910112,26.4337516767295,30.6778697538405
295,23.354574011506,20.4147908109489,28.729367399165
305,22.3777921592209,25.5642158651991,30.5720298303509
315,26.5628170777747,20.1525147919719,28.4999673183478
325,25.9391837200882,27.1203552040337,30.8859686380917
335,32.9698618540131,24.9662457291616,30.0945163424534
345,34.6768738013562,27.7436069662487,30.5987584549093
355,28.1731252052462,25.8542073081762,29.408964244893
365,30.4870885867169,23.0939414415166,28.479492830347
375,30.4219554101534,23.5414363070142,28.4858649818768
385,20.1194904027027,15.469691942526,26.8232456589828
395,24.5004545108776,16.8044864044869,27.072998458821
405,23.6999048465415,15.5632289200266,26.7233462547648
415,26.4291624678593,26.152910579326,29.4793269628315
425,23.9731477035797,26.568669987318,29.7668233312119
435,22.8731365511714,26.8972424716562,30.247828436361
445,18.8939879784728,26.9789094554499,30.4459991056927
455,23.7827690589433,27.4747391956339,30.2668687998753
465,27.3429561551714,25.8921840704018,29.6124766606756
475,31.1569185206084,26.5286198692194,29.8352660656146
485,35.544048555296,25.9876481331617,29.3350346273691
495,28.06667888208,16.788462974948,26.8121406922377
505,35.49550335232,28.0764816230255,32.0015443468242
NA,NA,NA,NA
