"age","MST","occupancy","terrestrial","ODP","Lower","Median","Upper","Min","Max"
5,88270.05,121,10,111,1.64,3.4,12.48,0.01,64.9
15,64304.16,93,12,81,16.95,38.14,44.72,0.18,60.82
25,58330.94,68,15,53,5.27,6.03,30.31,0.19,65.11
35,61398.76,67,16,51,29.86,31.62,63.91,0.64,65.41
45,40815.59,52,15,37,8.77,18.31,33.04,2.16,66.19
55,51945.1,44,9,35,9.56,23.26,37.2,4.04,66.37
65,62251.8,59,15,44,19.09,32.13,37.88,5.1,65.99
75,52890.4,76,24,52,16.09,30.15,35.11,2.64,65.62
85,47630.04,27,17,10,2.98,3.27,42.16,2.92,69.88
95,48411.88,37,16,21,2.56,2.56,24.37,1.6,72.44
105,49754.52,46,18,28,23.79,40.07,41.71,1.98,72.31
115,32125.47,17,6,11,25.21,25.27,25.32,13.57,75.91
125,13815.82,18,16,2,42.8,42.9,43.15,24,66.83
135,31177.13,30,28,2,35.03,36.57,44.31,7.65,69.28
145,25843.35,23,22,1,43.4275,48.97,49.63,27.81,84.94
155,31666.09,40,37,3,39.45,42.85,48.02,22.08,84.46
165,21994.18,47,46,1,39.2,41.62,42.73,22.19,77.48
175,5669.65,26,26,0,30.85,33.03,43.81,20.64,45.46
185,6995.11,37,37,0,30.28,32.88,39.59,20.64,43.84
195,7468.88,31,31,0,36.62,39.73,40.26,22.46,43.25
205,2522.78,8,8,0,28.12,36.38,36.38,27.4,41.18
215,0,1,1,0,19.23,19.23,19.23,19.23,19.23
225,555.76,2,2,0,12.22,12.22,14.535,12.22,16.85
235,3748.94,11,11,0,6.56,10.38,11.3,4.77,18.06
245,9697.56,13,13,0,17.06,17.13,56.92,0.69,58.87
255,13578.38,15,15,0,3.72,3.72,20.2075,1.66,31.5
265,23986.01,6,6,0,1.1125,1.34,19.7225,0.42,67.34
275,22289.03,19,19,0,10.53,23.44,34.15,0.03,40.12
285,17185.13,22,22,0,0.67,7.31,8.92,0.1,47.65
295,24891.73,25,25,0,1.72,27.92,45.05,0.19,46.79
305,12393.91,13,13,0,3.1,3.32,6.12,0.95,45.05
315,8119.34,19,19,0,3.97,20.8,42.76,3.01,43.24
325,14633.41,21,21,0,1.3,6.14,8.03,0.55,41.34
335,8622.08,17,17,0,6.1725,7.28,30.6825,0.05,39.54
345,2778.56,8,8,0,9.02,9.7,11.5525,3.63,12.44
355,10590.51,13,13,0,14.61,15.6,22.12,2.08,33
365,22166.72,9,9,0,27.16,27.49,27.49,2.37,33.73
375,11280.68,15,15,0,18.43,29.82,30.16,16.38,39.1
385,15610.68,19,19,0,23.5,44.32,46.95,19.95,47.83
395,10624.85,9,9,0,23.2,43.75,44.21,22.21,45.58
405,12664.67,10,10,0,32.38,33.21,50.7,24.52,51.5
415,11309.14,11,11,0,15.1,15.19,21.79,10.4,26.56
425,7548.13,25,25,0,12.22,13.47,23.37,10.2,26.55
435,9074.2,18,18,0,4.44,14.57,17.36,3.54,26.32
445,22374.81,11,11,0,3.2,11,11.46,2.65,30.28
455,1931.4,8,8,0,11.85,11.85,12.03,11.56,15.54
465,27280.65,11,11,0,12.82,13.46,15.16,12.52,36.32
475,30536.21,8,8,0,12.89,15.4,21.53,2.61,21.53
485,4169.33,2,2,0,17.32,19.83,19.83,17.32,19.83
495,0,1,1,0,37.51,37.51,37.51,37.51,37.51
505,0,1,1,0,0.09,0.09,0.09,0.09,0.09
